"","V1"
"init","0.8618903 secs"
"unnamed.chunk.10","0.007859945 secs"
"unnamed.chunk.11","0.6435471 secs"
"mito","0.03238964 secs"
"qc","0.004168272 secs"
"qc2","1.411182 secs"
"normalize","0.5264788 secs"
"normalize.default","0.000934124 secs"
"var_features","1.193208 secs"
"regress","1.088181 secs"
"regressvarmt","0.0008554459 secs"
"pca","4.381212 secs"
"pca_viz","0.354847 secs"
"single.heatmap","0.05127692 secs"
"multi.heatmap","0.5748515 secs"
"elbow_plot","0.07312822 secs"
"cluster","0.9630916 secs"
"umap","4.107025 secs"
"umapplot","0.2177613 secs"
"saveobject","0.001002789 secs"
"markers1","258.7948 secs"
"markersroc","11.18429 secs"
"markerplots","1.104462 secs"
"unnamed.chunk.12","1.739957 secs"
"clusterHeatmap","1.88931 secs"
"labelplot","0.250844 secs"
"save.img","0.3027604 secs"
"save.rds","0.0008683205 secs"
